keys,en
COMMON_ACCEPT,"Accept"
COMMON_CANCEL,"Cancel"
COMMON_DECLINE,"Decline"
COMMON_SEND,"Send"
COMMON_SENDING,"Sending..."
COMMON_CLOSE,"Close"
COMMON_APPLY,"Apply"
COMMON_START,"Start"
COMMON_STOP,"Stop"
COMMON_DOWNLOAD,"Download"
COMMON_ERROR,"Error"
COMMON_PROGRESS,"Progress..."
COMMON_ON,"On"
COMMON_OFF,"Off"
COMMON_SELECT_FILE,"Select file"
COMMON_SELECT_FOLDER,"Select folder"
COMMON_RESEND,"Resend"
COMMON_RESEND_WAIT,"Resend (%d)"
APP_VERSION_LABEL,"ALISSRIP - OUTBREAK REVIVAL  V%s"
MAIN_PLAY,"PLAY"
MAIN_LOADING,"LOADING"
LOGIN_LOADING,"Loading"
LOGIN_USER,"User"
LOGIN_PASSWORD,"Password"
LOGIN_REGISTER,"Register"
LOGIN_FORGOT,"Forgot my password"
LOGIN_ERR_CREDENTIALS,"Wrong user or password"
LOGIN_ERR_CONNECTION,"Could not connect to the server"
LOGIN_ERR_UNKNOWN,"PRENDAN FUEGO EL CAPITALISMO"
NAV_NEWS,"NEWS"
NAV_PROFILE,"PROFILE"
NAV_CHAT,"CHAT"
NAV_SETTINGS,"SETTINGS"
NAV_SERVER,"SERVER"
FRIENDS_SEARCH_PLACEHOLDER,"Search a friend"
FRIENDS_EMPTY,"-No friends found-"
SEARCH_USER_PLACEHOLDER,"Find a user"
SEARCH_USER_EMPTY,"-No users found-"
NEWS_TITLE,"NEWS"
NEWS_LOAD_MORE,"Load more news"
STATUS_ONLINE,"Online"
STATUS_AFK,"AFK"
STATUS_BUSY,"Busy"
BADGE_ONLINE,"ONLINE"
BADGE_AFK,"AFK"
BADGE_BUSY,"BUSY"
BADGE_INGAME,"IN GAME"
BADGE_OFFLINE,"OFFLINE"
PROFILE_STATS_TITLE,"Stats"
PROFILE_HISTORY_TITLE,"History"
PROFILE_RECORDS_TITLE,"Records"
PROFILE_ACHIEVEMENTS_TITLE,"Achievements"
PROFILE_BIO_PLACEHOLDER,"Put anything that you want"
PROFILE_BIO_EMPTY,"Empty. Click here to write something."
PROFILE_BIO_LIMIT,"120 characters maximum"
PROFILE_ADD_FRIEND,"Send Friend Request"
PROFILE_REMOVE_FRIEND,"Remove Friend"
PROFILE_RELATION_PENDING,"PENDING"
PROFILE_RELATION_INCOMING,"ACCEPT FROM REQUESTS"
STATS_MUC,"MUC: %s"
STATS_TIME,"Time: %s"
STATS_HITS,"Hits: %d"
STATS_SHOTS,"Shots: %d"
STATS_POINTS,"Points: %d"
STATS_DEATHS,"Deaths: %d"
HISTORY_EMPTY,"-No games found-"
HISTORY_TIME,"Time: %s"
HISTORY_INFECTION,"Infection: %d%%"
HISTORY_POINTS,"Points: %d"
HISTORY_RANK,"Rank: %s"
RECORDS_EMPTY,"-No records found-"
RECORD_TIME,"Time: %s"
RECORD_INFECTION,"Infection: %d%%"
RECORD_POINTS,"Points: %d"
RECORD_RANK,"Rank: %s"
RECORD_TOTAL_TIME,"Total Time: %s"
RECORD_AVG_INFECTION,"Avg Infection: %d%%"
ACH_NOT_LINKED,"-RetroAchievements account not linked-\n-Go to settings and set it up-\n\n-If you do not have an account, click below-\n[url=https://retroachievements.org/createaccount.php]CREATE A RETROACHIEVEMENTS ACCOUNT[/url]"
ACH_NOT_ACHIEVED,"Not achieved"
ACH_OTHER_NOT_LINKED,"-This user has no RetroAchievements account linked-\n-Their achievements cannot be shown-"
ACH_OWN_EMPTY,"-No achievements to show yet-\n-Play with achievements enabled to start unlocking them-"
ACH_OTHER_EMPTY,"-This user has no achievements to show yet-"
ACH_NORMAL_PCT,"NORMAL: %.2f%%"
ACH_HARD_PCT,"HARD MODE: %.2f%%"
CHAT_TITLE,"Chat"
CHAT_GLOBAL,"GLOBAL"
CHAT_GLOBAL_TITLE,"Global"
CHAT_SHOW_PROFILE,"SHOW PROFILE"
